"year","month","date","day","p1","p2","p3","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10"
"1990","01","06","sat","4670","8971","6810","4244","2195","3137","1027","7944","9722","9047","5624","8263","8371","2651","5122","4971","4753","4475","7349","8817","6351","9422","4650"
"1990","01","07","sun","3455","3558","1691","6923","1566","6474","7666","6368","4121","7896","6568","1979","0855","7768","1825","3158","1387","4179","9476","0861","5972","9166","9263"
"1990","01","13","sat","4040","8784","8539","3151","9763","9258","7000","6893","1740","4934","3806","3628","6561","9927","1164","6088","5130","6212","4382","2532","6163","3785","7776"
"1990","01","14","sun","4556","1148","2672","5117","3379","0504","6511","8791","2271","8232","1638","4234","3050","3521","7205","2309","0224","4574","8923","2467","6841","7890","2420"
"1990","01","20","sat","6244","4776","8323","4902","8838","3316","3388","5052","1669","2393","4700","9421","8654","6790","9589","2750","2065","8926","3858","6969","9874","8967","3674"
"1990","01","21","sun","6113","3495","0032","2525","2355","9693","3341","1846","5194","8287","6353","6004","7462","1123","7488","4022","0568","0702","3134","9505","9483","4839","5010"
"1990","01","27","sat","9146","3241","7741","2428","9835","2569","8351","0479","3047","4301","2820","8126","6641","4266","5289","5560","1793","7071","8311","3780","8462","9862","2917"
"1990","01","28","sun","9460","3491","4964","8233","9774","1248","9998","8516","5076","1169","8027","5223","8750","6434","8016","2841","7721","0512","5008","1519","4406","1708","3208"
"1990","02","03","sat","0229","5388","9279","4758","8977","8587","8132","4401","9501","1105","3420","6313","0781","9669","5156","9819","5823","1882","3757","6335","9425","8572","4809"
"1990","02","04","sun","0389","2752","6244","7818","7110","1996","6347","7664","6289","2583","9922","7359","7733","6751","2845","9304","4815","8792","7653","7675","2519","6603","2388"
"1990","02","10","sat","4449","5107","3466","6901","5826","0549","1701","0687","9615","4933","1784","6530","2306","8576","3201","9294","1245","9931","5836","9088","1246","9039","5647"
"1990","02","11","sun","9889","4516","6984","7203","9393","4192","4801","0727","9168","9541","1748","4484","9012","3046","5274","9858","2819","7890","4368","8958","3284","1596","3498"
"1990","02","17","sat","2368","4902","9905","0360","0133","2295","3069","6806","3296","6342","4542","8561","6122","4672","4867","1190","3576","3663","6679","6217","1543","7507","6015"
"1990","02","18","sun","6565","5920","1460","3198","4124","2408","2045","6874","2310","8521","8363","0484","1052","3622","4034","4221","4225","3350","0596","3239","1595","3652","7187"
"1990","02","24","sat","2707","9936","6619","1824","8674","2742","1313","6827","3065","6045","3872","5530","6972","4830","8441","8269","4497","2795","9040","0454","4859","0257","1979"
"1990","02","25","sun","1139","5225","7135","1048","5349","8059","4380","8016","5025","2375","7258","6539","1679","0400","6268","9967","4528","9183","7243","5319","9111","6151","3831"
"1990","03","03","sat","0524","3370","8396","0447","3022","1787","7305","6723","8319","9885","1371","1422","3773","3238","8459","9489","0986","4053","6367","9579","6760","2198","1369"
"1990","03","04","sun","0680","5416","0816","3654","1690","2365","9823","6048","0968","5322","6712","5781","3276","1114","0380","8009","2871","9064","8645","3220","0548","0325","3445"
"1990","03","10","sat","0048","3785","8700","3139","2575","8529","3445","1955","3115","3319","5381","5459","8781","4330","1520","6620","2112","5139","6929","3754","7654","5238","4208"
"1990","03","11","sun","8841","4355","1832","3957","5632","7823","2846","5738","5258","9187","8835","5054","0035","3886","2495","6372","0603","8192","4470","2469","8625","4644","8326"
"1990","03","17","sat","4667","8040","3099","4541","9705","5206","2963","7304","7208","1779","9926","6948","6568","9013","9936","9463","9549","5685","9332","9371","9327","8619","9525"
"1990","03","18","sun","6026","5434","5964","4955","5450","6045","9183","1679","4034","2935","5349","6732","9221","5252","8605","3961","7544","1400","5760","5166","5419","2976","8972"
"1990","03","24","sat","9096","1031","5627","0206","6096","5349","2958","1838","1394","4830","2096","3391","1264","3624","4786","6210","9240","4576","4716","6390","2112","9665","1357"
"1990","03","25","sun","8588","1519","0211","2709","2750","3096","5420","1859","8756","4746","7781","1340","0671","0035","5680","4940","0283","2832","1144","8910","0615","1218","7411"
"1990","03","31","sat","8201","9363","3344","1214","9022","2440","4260","9008","3112","1554","0756","8028","0078","7657","9291","5669","6275","5641","3603","7064","5314","0288","5916"
"1990","04","01","sun","4500","9951","3835","8143","7015","7207","4878","6260","0002","7381","8457","9837","0247","8838","5545","2485","1992","2815","6030","7369","4532","9722","4689"
"1990","04","07","sat","9164","5815","7004","7849","3733","2830","6270","8028","5050","2767","4762","6904","4036","8379","9966","0731","0635","5349","7093","0213","4050","3379","6906"
"1990","04","08","sun","5397","5408","9006","8183","1296","3207","6456","9271","8814","2581","5536","5206","6804","4169","7533","5746","2056","3392","8508","5714","9894","4996","9435"
"1990","04","14","sat","9821","7664","8384","9779","6957","8603","2020","4964","4972","5784","4689","8975","6756","1689","5918","9088","5823","0159","6451","0942","4870","8587","3359"
"1990","04","15","sun","7079","0326","5525","1138","1817","2786","5419","3233","1330","4711","5376","8807","1380","1057","3042","7110","4672","7643","1430","0266","2811","6795","5391"
"1990","04","21","sat","7809","7761","3582","6018","4588","2731","9025","7338","1121","5866","1484","1110","0987","6145","5348","0784","5180","5881","9330","8581","6571","0376","4559"
"1990","04","22","sun","8522","3920","8368","7276","7289","3073","6878","0400","9988","6596","6903","2196","3465","0927","5087","9347","3557","1452","4357","6932","4465","2931","6723"
"1990","04","28","sat","6035","6065","2337","1455","8653","7942","2074","1027","5300","1286","7225","0512","5484","9160","6538","3573","4632","7202","0345","6333","9937","0047","3348"
"1990","04","29","sun","4828","0212","5269","2610","7321","8373","1873","4980","3298","0743","7534","4729","8928","8302","7880","7515","9681","6539","7836","1032","8056","1618","7409"
"1990","05","05","sat","4828","0212","5269","2610","7321","8373","1873","4980","3298","0743","7534","4729","8928","8302","7880","7515","9681","6539","7836","1032","8056","1618","7409"
"1990","05","06","sun","0623","7404","8512","6217","0054","8931","5699","7932","2167","8004","8000","4227","6895","0713","2291","4224","9573","9737","2632","7143","5526","4698","1418"
"1990","05","12","sat","2680","5154","3730","7960","8746","7744","1829","1523","7594","9078","9089","3146","3290","6303","4164","6658","8115","5118","5013","2946","8107","6154","2703"
"1990","05","13","sun","4260","7133","8224","1849","5513","2958","9371","3190","3731","5099","3012","6754","8973","8087","6614","0910","5262","9520","8436","1881","1909","7901","5243"
"1990","05","19","sat","5792","9743","0604","2826","6303","2950","1316","5505","4185","0901","4235","6056","4362","0988","8794","0645","3598","2736","8535","8879","6243","1994","4913"
"1990","05","20","sun","4973","6736","7989","2978","5700","4931","9651","2912","5119","5558","8768","4082","1034","4815","1784","8336","8221","5254","5793","7622","5866","6290","6243"
"1990","05","26","sat","2662","9995","2958","0152","4469","4450","8527","7479","7346","1459","0028","4751","2189","7236","8857","5015","9172","0272","0229","2416","4259","5406","9402"
"1990","05","27","sun","1724","9743","8527","5734","7374","9601","9373","2382","1439","2675","9436","5050","6263","4477","7974","3342","5333","6615","4593","7873","5776","0712","0869"
"1990","06","02","sat","3337","7180","6578","2058","1966","0267","3197","6129","9763","9454","9627","8304","2822","7417","5515","5223","3408","1713","4551","7935","7033","4525","7651"
"1990","06","03","sun","2678","3194","4206","2455","3937","8925","1810","7112","8153","6007","5200","7460","3300","0326","5882","2579","4445","9152","8671","3108","8841","3841","0215"
"1990","06","09","sat","6857","8473","4117","5456","0548","9140","0781","2723","6594","5449","2470","1674","7048","3187","7438","5221","8047","3550","6223","1598","7518","9817","9195"
"1990","06","10","sun","7993","0873","6083","5455","5275","1579","5001","2785","4638","2181","1298","7173","4077","2236","7070","6111","4470","0755","1933","1822","9423","7583","6818"
"1990","06","16","sat","6609","3051","3652","9663","5737","4732","9898","4262","4545","5714","5402","3102","3250","7878","2060","4407","0534","0126","0879","9584","7129","6833","7916"
"1990","06","17","sun","7379","2483","4909","9311","9937","3011","5727","5761","3033","7820","2825","2464","5738","3942","7553","5869","3362","4786","8113","6134","5354","4053","6993"
"1990","06","23","sat","7938","4898","5078","9342","4711","7784","6990","8806","3089","2121","8972","9777","7433","3747","6610","6797","9996","6811","6739","2229","2629","8377","8065"
"1990","06","24","sun","2463","2580","8357","4996","6828","1276","5447","1845","5230","8799","4894","7729","6341","1686","0536","9217","0202","8280","4857","6102","0295","8977","9928"
"1990","06","30","sat","5694","0258","6671","4538","9782","5827","6425","0401","8355","9935","5059","7442","9775","5098","4025","2049","3770","4080","9640","7423","6047","7325","8675"
"1990","07","01","sun","4613","0111","7950","9201","1691","7778","9866","9737","8197","4486","4167","3029","5413","2194","5486","4850","5323","0508","2535","9939","4112","4415","4713"
"1990","07","07","sat","9476","3794","5583","7528","8159","7248","9878","2087","8543","7866","4130","2428","9833","5707","5672","8182","4574","8026","1769","8887","3238","3527","1198"
"1990","07","08","sun","2422","2767","2033","2246","7467","0418","9926","9906","0919","9934","6897","2026","9001","4289","0816","2836","9406","6539","0367","9160","9854","5262","9372"
"1990","07","14","sat","6716","3643","8836","1020","3277","0545","5774","8573","4686","0133","0010","7454","6772","9540","8918","4179","7738","7329","1199","7295","5259","4056","9155"
"1990","07","15","sun","5444","2146","6595","9780","7209","0098","9541","0301","2788","1971","6584","4024","7027","7517","6371","0715","8591","4799","6629","8349","7668","7897","9103"
"1990","07","21","sat","9712","1120","6115","4482","3423","1735","7694","3750","3141","1366","0984","4633","4498","1194","3661","2030","0502","4341","7787","8383","4609","5066","9093"
"1990","07","22","sun","6362","9250","9283","4430","9794","2795","5910","7170","1708","9558","7198","2239","8587","1783","3726","4161","0022","9418","3765","0923","2306","0863","9613"
"1990","07","28","sat","0116","6577","0332","4674","7622","9900","6030","5153","5457","0637","6295","7995","6010","6411","2304","6083","7057","1892","9387","7087","4850","1743","8297"
"1990","07","29","sun","1523","1209","5355","3683","9295","4662","3601","0748","6682","1398","7545","3519","4791","2880","3941","6721","8384","5875","7609","5708","3309","0348","4039"
"1990","08","04","sat","9558","1766","4173","2716","9236","1620","2317","7858","4521","7161","2826","7949","7729","8893","6976","7185","4062","8974","8762","2315","1007","7152","2657"
"1990","08","05","sun","8241","4747","3086","0501","6562","9554","6035","3910","1601","4514","2833","9773","3445","1581","6478","8658","9887","8951","5926","2894","9470","7863","9059"
"1990","08","11","sat","9195","9596","7703","1186","3654","5557","6704","9520","9348","0978","6779","5200","3690","0672","1590","3165","3281","4311","2721","5131","1900","0079","9074"
"1990","08","12","sun","8740","3309","5817","5483","9124","9615","5911","0406","8733","2229","4900","2694","8541","0397","7898","0284","5563","9636","7887","8772","8567","8258","4855"
"1990","08","18","sat","9217","7995","4905","2743","9672","7752","7605","5532","3575","0814","4491","2793","6689","3156","9126","1323","6934","7369","0233","0185","5503","8376","1118"
"1990","08","19","sun","4984","0553","4196","3372","7288","7522","6203","5532","7066","4820","9576","4953","4230","8798","3080","0847","8941","6658","8664","9431","0264","0793","2810"
"1990","08","25","sat","3509","7888","1233","2133","9980","9324","7314","3151","5061","2811","7495","6423","5672","1973","0684","3375","7071","0031","6864","6408","0708","8720","4471"
"1990","08","26","sun","1842","6406","5495","7698","2528","1773","2264","2761","4724","9232","9083","6362","9025","8745","4026","0278","4790","3572","5479","0172","6556","6974","7495"
"1990","09","01","sat","2735","6614","7264","3594","6323","0332","7447","8104","0940","3853","7863","9033","5744","6005","5539","6713","3358","6650","8664","0997","8791","8268","4812"
"1990","09","02","sun","1119","6384","4994","1642","1825","1035","5152","2611","4516","6366","2191","2609","8825","1655","7574","0704","4119","2850","8307","4571","1354","0521","7133"
"1990","09","08","sat","3916","5455","3547","4923","2336","8823","0872","9376","2458","0948","1910","8948","1266","5277","5881","2278","5209","1376","2772","1753","1327","5927","2161"
"1990","09","09","sun","3350","0886","6744","2302","7305","7224","0857","6356","6344","2546","5596","8879","4334","3656","0839","3287","4721","2675","2547","3895","7408","6576","4699"
"1990","09","15","sat","0382","8542","4155","9991","6352","3432","3374","7397","6599","8604","4593","7131","5804","4941","4252","5563","2005","8375","6494","4018","3653","7288","5633"
"1990","09","16","sun","8899","8405","8422","0924","6334","6642","1690","8983","6677","2000","9635","2519","1284","9378","1706","2902","6260","1921","6449","6844","9993","3102","7467"
"1990","09","22","sat","5384","7396","4544","1327","4871","5794","1150","1019","7109","2743","7209","6957","3846","9459","3282","9570","8018","8324","8418","1459","3459","8290","7252"
"1990","09","23","sun","2856","4769","0115","4587","7522","7032","0579","1997","8060","7164","4251","7832","0716","3894","9792","4000","3753","8474","7501","5935","5123","0462","4984"
"1990","09","29","sat","2084","8066","9276","2177","1705","1732","5289","3079","9439","4523","3960","0229","7291","2858","1492","3511","2831","8053","7573","0869","7595","1357","2580"
"1990","09","30","sun","3657","7501","6482","0532","8773","3470","3814","8888","7745","7575","4562","9326","6329","1147","1983","0660","0481","8981","1942","5405","5241","1932","1214"
"1990","10","06","sat","6901","8320","1716","1548","0001","3153","2265","4494","8808","7933","4607","3542","7972","9917","6277","5596","2370","7705","5963","2809","2208","5638","2908"
"1990","10","07","sun","3880","1312","8548","2988","1938","6479","2111","4318","3904","5912","7939","3319","3543","2792","7149","0235","6439","5977","8693","6071","9983","8432","7390"
"1990","10","13","sat","0789","5849","6739","2494","6541","0148","4976","2312","9487","9264","5546","1833","6310","7807","8098","0853","7294","3857","6660","0956","2472","2071","0088"
"1990","10","14","sun","2369","7396","2517","8522","4534","8493","4219","5673","3465","2370","6850","8384","0645","7179","6827","3913","2089","5164","2278","2116","9899","5394","1331"
"1990","10","20","sat","3553","6858","6358","9284","3247","3806","5209","9980","0517","3797","2739","2907","0528","8428","8637","7202","6193","5499","8634","3401","5356","1412","1613"
"1990","10","21","sun","3245","4992","9622","0544","2130","0055","4466","8249","6144","6309","5565","1144","4958","7869","2174","7852","6797","4741","1790","9277","2581","9298","3885"
"1990","10","27","sat","4788","9886","6595","3215","4510","5296","8207","9859","3083","6857","2155","5029","1566","2266","5727","4623","0400","5490","2734","1593","9811","0492","1566"
"1990","10","28","sun","0892","8478","6643","1380","5007","8129","0075","2114","7450","0640","6949","9079","3706","7549","2592","6051","3440","8171","7061","4045","9169","6430","8870"
"1990","11","03","sat","5335","6423","4712","8495","0024","0706","9018","8853","0387","4396","1080","1766","9505","6405","1456","0102","4284","6328","4128","7522","7295","0995","3861"
"1990","11","04","sun","2106","8702","8483","7526","5060","9029","1797","9174","4097","0356","3178","2421","1595","0241","9275","6982","7162","6656","7814","1499","2527","5068","6373"
"1990","11","10","sat","8741","3392","9518","7514","8905","8894","9966","9952","5784","0172","9505","7948","9622","9344","4748","0432","5983","6970","2049","6312","4192","9546","8396"
"1990","11","11","sun","7182","0029","1424","5056","3821","6020","5138","6308","1704","9833","1942","1655","5170","1348","4959","3334","5024","9487","6811","7533","7629","7661","5033"
"1990","11","17","sat","7865","6714","0262","8095","6877","1071","2026","4581","9577","7194","8132","0731","2920","6846","6270","2919","3262","3837","7094","5262","5389","1006","8405"
"1990","11","18","sun","4823","0744","7847","7791","3199","6486","2777","2373","9997","7228","6063","0642","3445","2135","4503","6097","2952","3666","1017","8211","1563","4246","3780"
"1990","11","24","sat","1807","9329","8609","4561","2509","1431","5460","2592","6331","6244","5840","2929","3287","3612","5114","9601","9880","2767","5181","2936","6072","6396","7399"
"1990","11","25","sun","5416","5641","9782","0017","7239","3081","2666","7569","9056","9586","1371","6339","2821","6968","4615","7160","5183","8016","3583","4653","2013","2443","4107"
"1990","12","01","sat","4545","6659","9128","0325","4299","8056","1064","5284","1742","7350","9933","3947","2109","7291","0175","1640","3217","5937","1073","3285","8613","2303","7515"
"1990","12","02","sun","1192","1186","2598","6205","0795","4727","4178","9378","3029","5219","5186","0830","2924","7032","6479","9635","1821","2433","5396","8892","6351","3596","9645"
"1990","12","05","wed","1370","1944","5183","1605","7445","9238","8613","5477","4451","5719","5805","3882","6195","8069","9950","2828","5379","6528","6129","5917","0404","4915","8398"
"1990","12","08","sat","8074","4552","2765","3516","2922","7879","9545","8951","9583","8031","1225","6763","0349","4286","2036","8657","2671","8565","5307","1961","0485","8715","1573"
"1990","12","09","sun","2777","1698","9789","4432","7335","7923","2987","7705","5953","9259","1444","1200","7479","5991","7246","9895","6200","7323","2067","5780","8471","3102","6722"
"1990","12","12","wed","1673","9883","9445","8939","1063","8445","2537","5253","5911","9708","8184","9695","1918","7591","2646","9559","5807","6485","7062","0394","9672","4806","4382"
"1990","12","15","sat","9919","9136","6688","6676","5603","7298","5487","3177","4314","1634","9210","8228","9231","1816","7339","0703","3969","6053","9546","8546","1987","6542","9030"
"1990","12","16","sun","1966","9749","6969","2884","5176","7518","5598","8881","4324","2733","9706","3620","6247","8814","0271","4879","1501","6347","3960","6484","4074","3390","8900"
"1990","12","19","wed","4293","7728","3277","1420","2375","6797","7019","4564","2161","4172","3934","3487","1655","8767","7464","2762","5638","7233","5873","5541","4023","0482","7413"
"1990","12","22","sat","6470","4895","4580","0749","5175","8661","7029","9279","1936","3165","2752","2547","7469","3220","7121","1000","4059","0754","2541","2885","5245","9216","7648"
"1990","12","23","sun","8139","1016","4474","5185","2672","7248","9472","8185","3574","6159","3518","7453","2436","9918","4416","7228","9040","0615","0680","7862","7738","0472","5586"
"1990","12","26","wed","9877","6505","7032","2090","5332","9552","4950","1297","9060","9093","8866","8256","7079","7531","9051","0361","8062","5501","5909","3022","0716","5096","9966"
"1990","12","29","sat","5727","6287","2599","9795","3490","8098","0795","8781","2284","3842","0489","3277","9910","2381","9780","3800","0163","5745","5213","5415","4099","9857","1671"
"1990","12","30","sun","4597","2926","7958","3028","6292","1445","6885","1444","9672","0651","4943","2153","9917","2377","8199","1373","6524","0779","2737","9229","4531","4778","5544"
"1991","01","02","wed","2817","4359","9397","1824","7591","8096","1126","1863","3958","7386","7328","0024","6313","2026","6240","1889","9340","2185","0687","3041","1407","2433","8473"
"1991","01","05","sat","8445","2528","1805","6975","1175","1785","8164","9099","0985","4357","5289","7530","1339","2706","6264","2775","3154","9316","2970","9164","2780","1764","6277"
"1991","01","06","sun","5964","6182","7049","4752","3389","4300","1955","5836","9830","1633","5186","8059","1721","1262","2046","0639","3545","7970","4426","4225","8135","1816","4333"
"1991","01","09","wed","8569","7642","7948","1612","5625","6166","4416","0890","4406","8024","8099","7483","9319","5750","8920","5584","1223","2914","4819","1073","6448","9840","4571"
"1991","01","12","sat","2198","9375","8040","5509","9890","7286","0735","9966","0617","2913","0548","2484","4649","2052","5550","1577","6236","4502","4721","4541","2249","0975","9050"
"1991","01","13","sun","7695","9703","7264","4872","0557","1985","1655","1216","2885","9230","6515","7427","6361","1187","7972","9966","2565","1522","3002","3705","8547","7127","7017"
"1991","01","16","wed","7672","6071","0813","5135","1422","4937","5071","2890","9831","6259","4231","5590","6464","3919","2262","5347","7728","6860","3332","3474","2196","3635","6722"
"1991","01","19","sat","8331","1414","4681","0792","1141","2100","7745","4475","4865","4973","5028","3299","4966","9427","5156","9945","9784","8384","5023","0796","4668","5622","7165"
"1991","01","20","sun","8959","0802","3368","2678","0217","2626","3290","3329","0286","7512","6525","1756","0983","6727","1319","1917","1415","3005","9846","2631","8352","7114","2691"
"1991","01","23","wed","4496","9590","1517","4404","6503","6180","2096","0591","8521","2924","3165","4252","2826","3036","5698","6890","1134","3122","5616","8163","4671","7733","7264"
"1991","01","26","sat","3914","7908","1653","2607","7955","7962","6108","2823","5518","7480","1115","0043","8068","6028","9209","4556","3847","7521","4239","4687","1800","9008","8618"
"1991","01","27","sun","3060","4273","9003","8413","7752","4739","3703","1983","1498","4279","1969","3044","6914","8955","0321","0685","3453","3230","0372","8048","0836","4777","5353"
"1991","01","30","wed","4752","1927","7497","0925","8681","8380","6955","6764","3802","3539","9117","3671","3955","6005","9653","5373","5085","5281","7091","6303","4033","0092","6073"
"1991","02","02","sat","0014","5765","6583","8301","8394","6489","2250","0851","4065","2588","7249","7456","5554","0906","4486","8194","3601","8742","5216","0555","9573","8366","6913"
"1991","02","03","sun","0072","6764","8756","8812","2899","4601","3640","2159","7340","1532","1505","2182","3238","0943","9070","0830","8861","5338","0835","3831","1330","9761","1078"
"1991","02","06","wed","5827","8477","2457","2910","4572","4759","2420","7440","9806","9801","6573","5519","6538","0057","0427","8321","7756","1001","6896","4880","8908","1452","6246"
"1991","02","09","sat","5757","1261","6569","9688","1987","2763","5427","4410","1466","4541","3346","4875","6514","3302","6935","7826","2772","7042","0656","9679","7545","3776","2314"
"1991","02","10","sun","7411","2820","4649","1213","1871","9666","4678","3705","4491","3440","0547","5655","0355","8636","9931","4850","8430","4908","3367","1490","8687","6340","8505"
"1991","02","13","wed","2512","6979","0450","1597","9981","8436","7958","3583","9741","9445","8787","8997","6142","4623","8157","6922","6245","1434","5238","6138","4356","7990","7870"
"1991","02","16","sat","5154","7033","4858","2110","0275","6184","6206","2597","2489","1497","5817","5791","3217","8465","7845","0304","0896","4861","4966","2449","2286","2824","9601"
"1991","02","17","sun","8523","2962","4868","8354","8687","8477","6569","9325","7767","7778","8604","0785","2577","8125","3186","4946","7912","1193","4123","4245","2277","5241","3065"
"1991","02","20","wed","5809","8387","0396","3667","7882","8388","4619","6030","0125","3249","2592","1288","5752","9858","8561","8249","8808","9002","3490","2309","4275","7473","4905"
"1991","02","23","sat","2929","9330","0379","7850","5280","6468","5558","7891","8950","8301","2151","4860","6364","7192","5404","1014","3308","3004","6333","2872","6925","5309","6784"
"1991","02","24","sun","8765","0592","0028","6657","7712","2938","2148","0042","5628","8472","0705","6044","5145","6932","4462","4521","4088","9199","8610","3390","3105","7790","2796"
"1991","02","27","wed","0653","0656","6413","2557","8490","3198","6447","2460","6382","2422","1054","8518","5948","5361","1117","1247","3525","2777","4048","5267","0614","6879","6943"
"1991","03","02","sat","3806","0765","0404","6678","7454","9925","9168","3968","8342","8797","0779","7555","4432","4670","9578","7908","6152","0315","0050","9666","2641","7640","8165"
"1991","03","03","sun","0526","2474","3690","1232","1930","6594","4364","7276","9897","2111","8272","3285","0993","4629","5233","8886","2457","9359","3189","2841","1873","2590","1030"
"1991","03","06","wed","3929","5560","9239","3243","9661","4664","3774","5536","2640","1449","4152","1557","9972","1591","7028","4569","1611","5147","3353","0478","9696","8547","1454"
"1991","03","09","sat","6027","8732","2067","1582","5875","5731","4145","6748","9309","6927","0264","9435","5873","5243","3873","4540","8545","9089","6530","7860","4680","5325","4684"
"1991","03","10","sun","7018","6920","7376","1934","2239","7616","7114","3445","3870","0702","1342","0686","5015","3487","6178","6680","8129","8372","1532","9113","4201","8555","2698"
"1991","03","13","wed","5572","5729","3603","7724","8434","5438","4344","7533","2622","2555","1041","6134","7085","7924","0873","0145","2019","7675","3620","0300","9022","0786","8568"
"1991","03","16","sat","9971","1336","1645","7283","1119","3431","1746","7760","8631","0094","9890","2562","6686","9881","1462","4099","5948","1103","7358","1626","3766","3305","4646"
"1991","03","17","sun","7904","3019","8494","6437","3386","6542","5601","8287","2626","8649","7707","6243","5232","8246","5938","9248","0149","3437","1451","8346","0178","7049","8460"
"1991","03","20","wed","7716","3342","0295","6575","4627","1155","3553","9803","3539","6073","3926","8034","7405","7512","0100","8261","6171","1015","6554","4175","1441","6178","2916"
"1991","03","23","sat","9664","1826","0351","8983","9980","5908","2721","1270","7223","3645","6082","6716","5347","2706","5904","2743","8260","2674","7111","2728","6009","9899","3021"
"1991","03","24","sun","6009","3768","1106","9356","0756","6233","8238","5992","2464","6497","6337","5077","7151","2426","1755","3310","2474","9400","4549","0884","9708","6418","9179"
"1991","03","27","wed","2018","8009","4874","9774","1315","3830","7348","8291","9447","7656","2349","1354","7044","4954","6611","6042","4472","9744","8134","8467","6098","9315","1338"
"1991","03","30","sat","0009","0283","6239","3535","1067","5847","6244","7920","5009","9856","5458","2513","9609","5372","7407","9201","4140","7044","0049","7604","0385","0487","8250"
"1991","03","31","sun","5734","1790","0521","0252","4855","2563","4437","4151","9223","3416","8915","5204","2969","8847","1751","6020","7852","6919","3889","4751","9207","5743","3869"
"1991","04","03","wed","2698","8619","5111","1210","0415","7869","1749","0029","4154","6070","0864","7622","0411","3708","4560","5706","4361","8836","9524","9993","9583","1690","2220"
"1991","04","06","sat","4911","0947","1562","0791","2686","5144","5002","2505","5602","4120","9161","8953","4212","3469","8963","2767","9809","4869","3403","8776","2092","5823","6311"
"1991","04","07","sun","4752","2834","0697","9237","9187","5700","0429","7193","6518","9049","9193","7117","2539","7671","2478","5169","6707","2117","0895","0143","4081","9452","7661"
"1991","04","10","wed","9733","5591","2125","9657","7715","7268","8768","8695","5403","3475","6048","6483","4017","2404","2460","6121","9445","5464","4160","2214","4250","0474","4848"
"1991","04","13","sat","3748","3590","5728","4360","1189","5729","9745","4104","8589","4791","0802","5913","9753","6102","9287","8166","3143","4210","4039","2860","4957","8375","5695"
"1991","04","14","sun","4601","0107","5879","7359","0301","6846","2269","6622","4558","4470","5706","0561","9792","6581","8152","8220","9912","6959","8807","9897","4310","8018","9771"
"1991","04","17","wed","6124","6526","1790","8834","3223","6581","3395","8900","0096","0723","0058","4181","3456","7151","2247","4853","1283","1392","5247","5936","0567","9874","3364"
