"year","month","date","day","p1","p2","p3","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10"
"1985","04","25","thu","1972","7055","8296","0148","0622","4195","4851","5644","5680","6579","7562","7691","9288","0606","1000","2494","2672","2801","3773","6464","7355","8046","8508"
"1985","04","27","sat","7087","2427","8971","0615","1021","1068","1664","2680","5964","6798","7055","7436","8651","0585","0647","2118","2379","2433","2855","5941","6158","8897","9382"
"1985","04","28","sun","1790","5704","7424","1797","1805","2364","3247","3771","4493","5174","5636","7268","8201","0392","1074","2512","3171","3380","3604","4457","5297","8127","9269"
"1985","05","02","thu","5856","3626","2656","2543","3532","4979","6584","6635","8472","8786","8528","9169","9335","1552","2916","3510","4859","5954","6086","7106","8576","8813","8982"
"1985","05","04","sat","5065","6265","4681","0990","1098","1686","2524","3902","4453","5568","6331","9006","9566","0039","2688","4345","5243","7643","7931","8629","9086","9140","9362"
"1985","05","05","sun","7874","9396","1877","1319","2260","2291","3048","4065","6640","8534","9240","9318","9905","0154","0971","1122","2565","3678","4238","5391","5733","6230","8896"
"1985","05","09","thu","4038","4219","0757","0210","0315","0544","0769","1473","3580.0","5096.0","7544.0","9484.0","9911","0118","0729","0856","1194.0","1654","3335.0","4395.0","8040.0","8777.0","9985"
"1985","05","11","sat","7202","6627.0","5991","0762","2042.0","3258.0","4834.0","5623.0","6811.0","7783.0","8641.0","9269.0","9908","0253","0685","1155.0","3027.0","3868","4986.0","5748.0","7851.0","8587.0","9609"
"1985","05","12","sun","0191","9147","0018","0069","2799","2903","4704","4746","6363.0","6909.0","7184.0","9578.0","9882","0024","0766","0815","1060","1311","3101.0","6087.0","6929.0","8800.0","9264"
"1985","05","16","thu","6789.0","9218.0","4746.0","0447","1923.0","3553.0","4199.0","5353","6326.0","7698.0","9259.0","9438.0","9586","0010","0944","2195.0","2744.0","4292","6837.0","7238.0","8490.0","9704.0","9832"
"1985","05","18","sat","6071.0","6973.0","3194","1189.0","1286.0","3309.0","3681.0","3963","5092.0","5490.0","7164.0","8987.0","9810","0705","1259.0","2314.0","4184.0","7424","8296.0","8884.0","9295.0","9379.0","9527"
"1985","05","19","sun","2292.0","7463.0","2003","0749","1016.0","1564.0","1589.0","2369","2431.0","2973.0","3622.0","4003.0","7828","0024","0493","1697.0","1702.0","2016","2586.0","2996.0","6637.0","8510.0","9996"
